name,lat,lon
Songkan,28.534704,106.864861
Thị Trấn Hà Trung,19.992977,105.8451758
Mainit,9.5403936,125.5240221
San Pedro,14.3679657,121.0504535
Tōkamachi,37.1448926,138.8255274
Kaduela,-6.7917815,108.4187029
Xinxu,22.863502,114.333767
Āgaro,7.8570335,36.5823944
Néa Róda,40.3808163,23.9238045
Kohila,59.1651981,24.7475218
Sukaraja,-6.6111441,106.8473377
Orleans,-28.3031653,-49.3450112
Nanjie,39.932164,116.456946
Golčův Jeníkov,49.8162612,15.4768669
Al Badārī,26.9915774,31.4155591
Suqiaoxiang,28.583113,116.935849
Tsaratanana,-16.7918481,47.6479775
Maochen,30.859012,113.979421
Nyzhni Petrivtsi,48.0323166,25.7230239
Bagu,-8.6276559,116.1979749
Almaguer,1.8739231,-76.8201976
Fatubia,-6.3904294,107.1733193
Noramarg,40.0196006,44.4229372
Sidaohezi,44.692194,85.70601
Yantai,37.464539,121.447852
Štoky,49.5024864,15.5886328
Sarata,46.0199358,29.6734385
Yläne,60.7428382,22.5352853
Haoxue,37.399373,110.691139
Naviraí,-23.062277,-54.1999693
Rābigh,22.7906701,39.0189623
Daliang,38.914003,121.614682
Shitang,27.483293,120.562211
Cambuí,-22.6118831,-46.0577071
Moutsamoudou,-12.1695811,44.40047
Narsingdi,24.134378,90.7860057
Grosuplje,45.9557645,14.658899
Dashiren,41.942393,126.558573
Czarna Białostocka,53.30215,23.28784
Ciperang,-6.3079232,107.172085
Gaoyang,38.689897,115.780626
Hajeom,37.7745941,126.4111806
Kangshan,39.630867,118.180193
Prosvet,55.564846,65.083549
Bondo,3.8164718,23.697829
Bolaoit,15.9275907,120.4355906
Byala,42.8494142,27.7900409
Nangka,3.6196125,98.5089455
São João da Boa Vista,-21.9751571,-46.7997801
Bocana de Paiwas,12.7878653,-85.1233
Pavlovka,52.6653765,49.7198694
Paris 08,43.4945737,5.8978018
Odiong,11.536819,122.489398
Selínia,37.9334705,23.5288412
Mělník,50.3539017,14.4817813
Xianyuan,43.42993,83.26077
Huanggang,30.453667,114.872199
Butterworth,5.5156762,100.4188073
Maumere,-8.6245515,122.2146964
Zhengguo,23.417161,113.893331
Alegrete,-29.7844393,-55.7980283
Portelinha,39.6920939,-8.4272356
Pericik,-6.308084,106.797267
Kota Kinabalu,5.976474,116.115777
Tignoan,14.5682829,121.6224914
Denton,33.1362221,-97.0821162
Byala Slatina,43.5066525,23.8635696
Paulba,13.1870854,123.4572574
Erie,42.1340917,-80.0872429
Ivry-sur-Seine,48.819324,2.394771
Kamālia,30.7361622,72.6661867
Mohoro,-11.8256582,43.4536443
Sandgerði,63.8351385,-21.0606971
Manzanares,5.255906,-75.1538939
Mets Parni,40.8328514,44.1103116
Novorossiysk,44.7154014,37.7619669
Pruzhany,52.5557638,24.4554644
Vahdat,38.560256,69.0165511
Ořechov,49.3509463,16.134156
Isangel,-19.54172,169.2803499
Singabarong,-6.7348499,107.0103733
Taypano,8.37083,124.55944
Zákynthos,37.7870331,20.8998759
Masatepe,11.9171458,-86.1471939
Librazhd-Qendër,41.136741,20.384833
Wassu,13.6868427,-14.8797594
Wanli,28.714796,115.730847
Tabug,18.5973932,120.8403202
Miguel Hidalgo,21.104739,-101.670897
Boco,39.8647755,-8.9052753
Tula,54.1649073,37.5852425
Mzuzu,-11.4389649,34.0084395
Jiaxian Chengguanzhen,33.971743,113.213468
Blagodatnoye,45.3934915,42.5902261
Kašperské Hory,49.1429001,13.5561642
Klyuchi,56.1343878,63.6111657
Stenungsund,57.7162077,12.0399013
Mealhada,40.3821458,-8.4551704
Changjiang,30.5211502,112.8915932
Aghavnadzor,40.5784827,44.6998779
Panoongan,-7.3251485,108.3607464
Xarag,36.423873,98.150312
Tabio,16.8564272,120.7963702
Kayukembang,-6.9338,113.9812
Fengshan,24.546876,107.04219
Musan-ŭp,42.22609,129.20776
Kuala Terengganu,5.7577596,103.0010752
Bogoroditsk,53.771559,38.1392615
Gambaru,12.3730419,14.2076222
Tepusteca,15.4726227,-86.2945627
Palkino,57.5394675,28.0121149
Rora Timur,-8.4589273,118.5155901
Tampa,27.8684314,-82.5270388
Ḩurayḑah,15.59861,48.18278
